Material,Hf (eV/atom),Ecoh (eV/atom),(ρ0 × λ)⊥τ (10^-16 m2),(ρ0 × λ)⊥λ (10^-16 m2),n,adirection,bdirection,TM_Z,TM_row,TM_group,TM_atomic_radius_calculated,TM_mendeleev_no,TM_electrical_resistivity,TM_poissons_ratio,TM_molar_volume,TM_thermal_conductivity,TM_boiling_point,TM_melting_point,TM_liquid_range,TM_bulk_modulus,TM_youngs_modulus,TM_brinell_hardness,TM_rigidity_modulus,TM_mineral_hardness,TM_vickers_hardness,TM_density_of_solid,TM_coefficient_of_linear_thermal_expansion,TM_ionization_energies,TM_atomic_mass,TM_atomic_radius,TM_average_anionic_radius,TM_average_cationic_radius,TM_average_ionic_radius,TM_electron_affinity,A_Z,A_row,A_group,A_atomic_radius_calculated,A_mendeleev_no,A_electrical_resistivity,A_molar_volume,A_thermal_conductivity,A_boiling_point,A_melting_point,A_liquid_range,A_mineral_hardness,A_density_of_solid,A_ionization_energies,A_atomic_mass,A_atomic_radius,A_average_anionic_radius,A_average_cationic_radius,A_average_ionic_radius,A_electron_affinity,X_Z,X_row,X_group,X_atomic_radius_calculated,X_mendeleev_no,X_refractive_index,X_molar_volume,X_thermal_conductivity,X_boiling_point,X_melting_point,X_liquid_range,X_ionization_energies,X_atomic_mass,X_atomic_radius,X_average_anionic_radius,X_average_cationic_radius,X_average_ionic_radius,X_electron_affinity,mean_Z,stddev_Z,mean_row,stddev_row,mean_group,stddev_group,mean_atomic_radius_calculated,stddev_atomic_radius_calculated,mean_mendeleev_no,stddev_mendeleev_no,mean_molar_volume,stddev_molar_volume,mean_thermal_conductivity,stddev_thermal_conductivity,mean_boiling_point,stddev_boiling_point,mean_melting_point,stddev_melting_point,mean_liquid_range,stddev_liquid_range,mean_ionization_energies,stddev_ionization_energies,mean_atomic_mass,stddev_atomic_mass,mean_atomic_radius,stddev_atomic_radius,mean_average_anionic_radius,stddev_average_anionic_radius,mean_average_cationic_radius,stddev_average_cationic_radius,mean_average_ionic_radius,stddev_average_ionic_radius,mean_electron_affinity,stddev_electron_affinity
Cr2SiC,-0.155,6.8,2.4,2.8,2,0,0,24.0,4.0,6.0,1.66,57.0,1.27e-07,0.21,7.23,94.0,2944.0,2180.0,764.0,160.0,279.0,1120.0,115.0,8.5,1060.0,7140.0,4.9e-06,6.76651,51.9961,1.4,0.0,0.94,0.94,0.6758412,14.0,3.0,14.0,1.11,85.0,0.001,12.06,150.0,3173.0,1687.0,1486.0,6.5,2330.0,8.15168,28.0855,1.1,0.0,0.54,0.54,1.38952128,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,17.0,7.54983443527075,3.25,0.82915619758885,10.0,4.0,1.275,0.41524089393989116,73.5,16.874537030686206,7.952500000000001,2.500223739988084,119.5,25.743931323712,3340.25,561.9432244453171,2461.75,798.422937734131,878.5,366.92608247438613,8.236246999999999,1.8352267738285093,36.022099999999995,16.954898271001213,1.15,0.2872281323269014,0.0,0.0,0.6799999999999999,0.27349588662354685,0.6799999999999999,0.27349588662354685,1.000829323,0.3280950614139337
Cr2SiN,-2.24,4.7,3.6,4.0,2,0,0,24.0,4.0,6.0,1.66,57.0,1.27e-07,0.21,7.23,94.0,2944.0,2180.0,764.0,160.0,279.0,1120.0,115.0,8.5,1060.0,7140.0,4.9e-06,6.76651,51.9961,1.4,0.0,0.94,0.94,0.6758412,14.0,3.0,14.0,1.11,85.0,0.001,12.06,150.0,3173.0,1687.0,1486.0,6.5,2330.0,8.15168,28.0855,1.1,0.0,0.54,0.54,1.38952128,7.0,2.0,15.0,0.56,100.0,1.000298,13.54,0.02583,77.36,63.05,14.31,14.53413,14.0067,0.65,1.32,0.285,0.63,-0.07,17.25,7.189401922274203,3.25,0.82915619758885,10.25,4.264680527307995,1.2475,0.45603590867386745,74.75,18.525320510047862,10.015,2.8337298742117247,84.5064575,53.86704751142315,2284.59,1277.769511414324,1527.5125,869.1326929581869,757.0775,520.3670368295344,9.0547075,3.2136904485838005,36.5211,16.255835911450383,1.1375,0.3069507289452168,0.33,0.5715767664977295,0.67625,0.27873318334923813,0.7625,0.180329559418305,0.66780092,0.5160813326880591
Cr2GaC,-0.148,6.2,2.4,3.6,2,0,0,24.0,4.0,6.0,1.66,57.0,1.27e-07,0.21,7.23,94.0,2944.0,2180.0,764.0,160.0,279.0,1120.0,115.0,8.5,1060.0,7140.0,4.9e-06,6.76651,51.9961,1.4,0.0,0.94,0.94,0.6758412,31.0,4.0,13.0,1.36,81.0,1.4e-07,11.8,29.0,2477.0,302.91,2174.09,1.5,5904.0,5.999302,69.723,1.3,0.0,0.76,0.76,0.3012011,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,21.25,9.256754290786809,3.5,0.8660254037844386,9.75,3.766629793329841,1.3375,0.4043745170012571,72.5,16.27114009527298,7.8875,2.393703981280894,89.25,39.53084238920289,3166.25,681.770626750669,2115.7275,1238.077446191776,1050.5225,657.5844501041292,7.6981525,2.080313548321682,46.43147499999999,21.14955668097738,1.2,0.291547594742265,0.0,0.0,0.7349999999999999,0.26167728216259045,0.7349999999999999,0.26167728216259045,0.728749278,0.3438289860998093
Cr2GeN,-2.174,4.4,2.9,2.8,2,0,0,24.0,4.0,6.0,1.66,57.0,1.27e-07,0.21,7.23,94.0,2944.0,2180.0,764.0,160.0,279.0,1120.0,115.0,8.5,1060.0,7140.0,4.9e-06,6.76651,51.9961,1.4,0.0,0.94,0.94,0.6758412,32.0,4.0,14.0,1.25,84.0,0.0005,13.63,60.0,3093.0,1211.4,1881.6,6.0,5323.0,7.899435,72.64,1.25,0.0,0.77,0.77,1.232676413,7.0,2.0,15.0,0.56,100.0,1.000298,13.54,0.02583,77.36,63.05,14.31,14.53413,14.0067,0.65,1.32,0.285,0.63,-0.07,21.75,9.12071817347735,3.5,0.8660254037844386,10.25,4.264680527307995,1.2825000000000002,0.44946495970208844,74.5,18.39157415774952,10.4075,3.1776593193733023,62.0064575,38.38227970167899,2264.59,1264.2620473224686,1408.6125,871.7093210863068,855.9775,666.5630904263676,8.99164625,3.2332071614640134,47.659725,21.178695232517867,1.175,0.3092329219213245,0.33,0.5715767664977295,0.73375,0.2682204084330646,0.82,0.12980754985747167,0.6285897032500001,0.46298318929355703
Cr2AsC,-0.059,6.5,3.3,3.3,2,0,0,24.0,4.0,6.0,1.66,57.0,1.27e-07,0.21,7.23,94.0,2944.0,2180.0,764.0,160.0,279.0,1120.0,115.0,8.5,1060.0,7140.0,4.9e-06,6.76651,51.9961,1.4,0.0,0.94,0.94,0.6758412,33.0,4.0,15.0,1.14,89.0,3.3e-07,12.95,50.0,887.0,1090.0,203.0,3.5,5727.0,9.78855,74.9216,1.15,0.0,0.6599999999999999,0.6599999999999999,0.80482,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,21.75,9.807522622966516,3.5,0.8660254037844386,10.25,4.264680527307995,1.2825,0.41245454294988676,74.5,17.628102563804195,8.175,2.868357543961352,94.5,31.823733281939127,2768.75,1219.3373969086654,2312.5,967.2480292045055,557.75,231.44154229524136,8.6454645,1.9496721790215783,47.73112499999999,22.647575567858805,1.1624999999999999,0.28586491565073174,0.0,0.0,0.71,0.2628687885618983,0.71,0.2628687885618983,0.854654003,0.24106783166510962
Cr2AsN,-2.153,4.4,11.5,12.1,2,0,0,24.0,4.0,6.0,1.66,57.0,1.27e-07,0.21,7.23,94.0,2944.0,2180.0,764.0,160.0,279.0,1120.0,115.0,8.5,1060.0,7140.0,4.9e-06,6.76651,51.9961,1.4,0.0,0.94,0.94,0.6758412,33.0,4.0,15.0,1.14,89.0,3.3e-07,12.95,50.0,887.0,1090.0,203.0,3.5,5727.0,9.78855,74.9216,1.15,0.0,0.6599999999999999,0.6599999999999999,0.80482,7.0,2.0,15.0,0.56,100.0,1.000298,13.54,0.02583,77.36,63.05,14.31,14.53413,14.0067,0.65,1.32,0.285,0.63,-0.07,22.0,9.40744386111339,3.5,0.8660254037844386,10.5,4.5,1.255,0.4539548435692695,75.75,19.149086140074676,10.2375,3.0147253191625927,59.5064575,38.7554084302813,1713.09,1263.7559275034084,1378.2625,880.1200524466818,436.3275,334.3946123500646,9.463925,3.1766513617762646,48.230124999999994,21.86345576417129,1.15,0.30618621784789724,0.33,0.5715767664977295,0.70625,0.2687325575735102,0.7925,0.14788086421170252,0.5216256,0.3456099034075268
Cr2InN,-2.058,3.8,2.8,3.1,2,0,0,24.0,4.0,6.0,1.66,57.0,1.27e-07,0.21,7.23,94.0,2944.0,2180.0,764.0,160.0,279.0,1120.0,115.0,8.5,1060.0,7140.0,4.9e-06,6.76651,51.9961,1.4,0.0,0.94,0.94,0.6758412,49.0,5.0,13.0,1.56,79.0,8e-08,15.76,82.0,2345.0,429.75,1915.25,1.2,7310.0,5.7863557,114.818,1.55,0.0,0.94,0.94,0.383926,7.0,2.0,15.0,0.56,100.0,1.000298,13.54,0.02583,77.36,63.05,14.31,14.53413,14.0067,0.65,1.32,0.285,0.63,-0.07,26.0,14.983324063771697,3.75,1.0897247358851685,10.0,4.06201920231798,1.3599999999999999,0.4636809247747851,73.25,17.865819320702872,10.94,3.792116823094984,67.5064575,39.26675900297755,2077.59,1180.4406737739937,1213.2,975.4541769094026,864.39,679.540111067772,8.463376425,3.527718818834608,58.204225,36.1788003114652,1.25,0.35178118198675723,0.33,0.5715767664977295,0.77625,0.28362331973940363,0.8624999999999999,0.13423393758658797,0.4164021,0.30506515417744784
Cr2SnN,-2.051,4.1,2.9,5.6,2,0,0,24.0,4.0,6.0,1.66,57.0,1.27e-07,0.21,7.23,94.0,2944.0,2180.0,764.0,160.0,279.0,1120.0,115.0,8.5,1060.0,7140.0,4.9e-06,6.76651,51.9961,1.4,0.0,0.94,0.94,0.6758412,50.0,5.0,14.0,1.45,83.0,1.15e-07,16.29,67.0,2875.0,505.08,2369.92,1.5,7310.0,7.343918,118.71,1.45,0.0,0.83,0.83,1.1120702,7.0,2.0,15.0,0.56,100.0,1.000298,13.54,0.02583,77.36,63.05,14.31,14.53413,14.0067,0.65,1.32,0.285,0.63,-0.07,26.25,15.368392889303683,3.75,1.0897247358851685,10.25,4.264680527307995,1.3325,0.45416819571608047,74.25,18.267115262131565,11.0725,3.9635992166211755,63.7564575,38.41047114847615,2210.09,1231.6544094428436,1232.0325,960.7633403542987,978.0575,859.902856326661,8.852767,3.2885957254832947,59.177225,37.708303928006025,1.225,0.33260336739125174,0.33,0.5715767664977295,0.74875,0.2714860723867801,0.835,0.1265898890117216,0.5984381500000001,0.42503232449462885
Ta2AlC,-0.535,8.6,5.2,6.3,2,0,0,73.0,6.0,5.0,2.0,52.0,1.35e-07,0.34,10.85,57.0,5731.0,3290.0,2441.0,200.0,186.0,800.0,69.0,6.5,873.0,16650.0,6.3e-06,7.549571,180.94788,1.45,0.0,0.82,0.82,0.32312,13.0,3.0,13.0,1.18,80.0,2.7e-08,10.0,235.0,2792.0,933.47,1858.53,2.75,2700.0,5.985769,26.9815386,1.25,0.0,0.675,0.675,0.432835,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,41.25,31.846310618343217,4.25,1.7853571071357126,9.25,4.264680527307995,1.4625,0.5669380477618343,69.75,18.525320510047862,9.2475,2.3110644192665855,122.25,73.38724344189527,4638.5,1215.6538364189043,2828.3675000000003,1113.6556223396665,1810.1325,792.9024357818244,8.08629975,1.9405273989940688,100.22199965,80.8992182244731,1.2125000000000001,0.30695072894521686,0.0,0.0,0.6537499999999999,0.2126433340126137,0.6537499999999999,0.2126433340126137,0.585297153,0.39331887393724985
Ta2SiC,-0.532,9.1,13.4,13.4,2,0,0,73.0,6.0,5.0,2.0,52.0,1.35e-07,0.34,10.85,57.0,5731.0,3290.0,2441.0,200.0,186.0,800.0,69.0,6.5,873.0,16650.0,6.3e-06,7.549571,180.94788,1.45,0.0,0.82,0.82,0.32312,14.0,3.0,14.0,1.11,85.0,0.001,12.06,150.0,3173.0,1687.0,1486.0,6.5,2330.0,8.15168,28.0855,1.1,0.0,0.54,0.54,1.38952128,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,41.5,31.62672920173694,4.25,1.7853571071357126,9.5,4.5,1.445,0.5763896251668658,71.0,19.32614809008769,9.7625,2.629024296198116,101.0,44.141816908686486,4733.75,1073.9058094171946,3016.75,795.4631905374378,1717.0,803.5549141160174,8.6277775,1.53962973433558,100.49799,80.65038561837197,1.175,0.3092329219213245,0.0,0.0,0.6199999999999999,0.2172556098240043,0.6199999999999999,0.2172556098240043,0.8244687230000001,0.503368285936729
Ta2GaC,-0.526,8.4,5.0,5.4,2,0,0,73.0,6.0,5.0,2.0,52.0,1.35e-07,0.34,10.85,57.0,5731.0,3290.0,2441.0,200.0,186.0,800.0,69.0,6.5,873.0,16650.0,6.3e-06,7.549571,180.94788,1.45,0.0,0.82,0.82,0.32312,31.0,4.0,13.0,1.36,81.0,1.4e-07,11.8,29.0,2477.0,302.91,2174.09,1.5,5904.0,5.999302,69.723,1.3,0.0,0.76,0.76,0.3012011,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,45.75,28.647643882176418,4.5,1.6583123951777,9.25,4.264680527307995,1.5075,0.5496078147188229,70.0,18.66815470259447,9.6975,2.574056866116209,70.75,41.583500333665995,4559.75,1336.8779628298164,2670.7275,1382.8243698202423,1889.0225,809.321522337538,8.089683,1.9368705904289265,110.907365,72.95212428625005,1.225,0.30923292192132457,0.0,0.0,0.6749999999999999,0.21788758569500927,0.6749999999999999,0.21788758569500927,0.552388678,0.409857577307821
Ta2InC,-0.383,8.2,6.0,7.2,2,0,0,73.0,6.0,5.0,2.0,52.0,1.35e-07,0.34,10.85,57.0,5731.0,3290.0,2441.0,200.0,186.0,800.0,69.0,6.5,873.0,16650.0,6.3e-06,7.549571,180.94788,1.45,0.0,0.82,0.82,0.32312,49.0,5.0,13.0,1.56,79.0,8e-08,15.76,82.0,2345.0,429.75,1915.25,1.2,7310.0,5.7863557,114.818,1.55,0.0,0.94,0.94,0.383926,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,50.25,27.36215452043205,4.75,1.6393596310755,9.25,4.264680527307995,1.5575,0.5429721447735602,69.5,18.39157415774952,10.6875,3.705269052309157,84.0,33.904277016329374,4526.75,1388.514021355204,2702.4375,1328.5529060668791,1824.3125,794.1473685461345,8.036446425000001,1.995630109161475,122.18111499999999,69.09920611140532,1.2875,0.3416412592179112,0.0,0.0,0.72,0.2473863375370596,0.72,0.2473863375370596,0.5730699029999999,0.3985933256384159
α-Ti3AlC2,-0.78,7.8,10.4,10.0,3,1,0,22.0,4.0,4.0,1.76,51.0,4e-07,0.32,10.64,22.0,3560.0,1941.0,1619.0,110.0,116.0,716.0,44.0,6.0,970.0,4507.0,8.6e-06,6.82812,47.867,1.4,0.0,0.8516666666666667,0.8516666666666667,0.075545,13.0,3.0,13.0,1.18,80.0,2.7e-08,10.0,235.0,2792.0,933.47,1858.53,2.75,2700.0,5.985769,26.9815386,1.25,0.0,0.675,0.675,0.432835,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,15.166666666666666,7.22072634081149,3.1666666666666665,0.8975274678557507,8.833333333333332,4.844813951249544,1.3,0.49040799340956914,70.5,20.130822139197395,8.75,2.4570307283385775,96.83333333333333,81.25764921258525,3678.666666666667,516.4838386199084,2392.745,1056.9166973442136,1285.9216666666669,562.1461203998081,8.165117500000001,2.208785777963822,32.43398976666666,16.21976247307515,1.1416666666666666,0.31677629681247016,0.0,0.0,0.6383333333333333,0.24725717605584496,0.6383333333333333,0.24725717605584496,0.530616204,0.5324483514556687
α-Ti3SiC2,-0.838,8.1,7.3,7.7,3,1,0,22.0,4.0,4.0,1.76,51.0,4e-07,0.32,10.64,22.0,3560.0,1941.0,1619.0,110.0,116.0,716.0,44.0,6.0,970.0,4507.0,8.6e-06,6.82812,47.867,1.4,0.0,0.8516666666666667,0.8516666666666667,0.075545,14.0,3.0,14.0,1.11,85.0,0.001,12.06,150.0,3173.0,1687.0,1486.0,6.5,2330.0,8.15168,28.0855,1.1,0.0,0.54,0.54,1.38952128,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,15.333333333333332,7.180219742846005,3.1666666666666665,0.8975274678557507,9.0,5.0,1.2883333333333333,0.4939438789534248,71.33333333333333,20.604745947367455,9.093333333333334,2.735822037747014,82.66666666666666,60.758172747010384,3742.166666666666,417.5046573259859,2518.333333333333,910.7135785867158,1223.8333333333335,513.9829493497058,8.526102666666667,1.9891860402454953,32.61798333333333,16.163029758414382,1.1166666666666667,0.3131382371342656,0.0,0.0,0.6158333333333333,0.24903285146966275,0.6158333333333333,0.24903285146966275,0.6900639173333334,0.615984687012951
β-Ti3SiC2,-0.507,7.8,2.4,2.6,3,0,1,22.0,4.0,4.0,1.76,51.0,4e-07,0.32,10.64,22.0,3560.0,1941.0,1619.0,110.0,116.0,716.0,44.0,6.0,970.0,4507.0,8.6e-06,6.82812,47.867,1.4,0.0,0.8516666666666667,0.8516666666666667,0.075545,14.0,3.0,14.0,1.11,85.0,0.001,12.06,150.0,3173.0,1687.0,1486.0,6.5,2330.0,8.15168,28.0855,1.1,0.0,0.54,0.54,1.38952128,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,15.333333333333332,7.180219742846005,3.1666666666666665,0.8975274678557507,9.0,5.0,1.2883333333333333,0.4939438789534248,71.33333333333333,20.604745947367455,9.093333333333334,2.735822037747014,82.66666666666666,60.758172747010384,3742.166666666666,417.5046573259859,2518.333333333333,910.7135785867158,1223.8333333333335,513.9829493497058,8.526102666666667,1.9891860402454953,32.61798333333333,16.163029758414382,1.1166666666666667,0.3131382371342656,0.0,0.0,0.6158333333333333,0.24903285146966275,0.6158333333333333,0.24903285146966275,0.6900639173333334,0.615984687012951
α-Ti3GaN2,-3.954,5.2,8.4,7.9,3,1,0,22.0,4.0,4.0,1.76,51.0,4e-07,0.32,10.64,22.0,3560.0,1941.0,1619.0,110.0,116.0,716.0,44.0,6.0,970.0,4507.0,8.6e-06,6.82812,47.867,1.4,0.0,0.8516666666666667,0.8516666666666667,0.075545,31.0,4.0,13.0,1.36,81.0,1.4e-07,11.8,29.0,2477.0,302.91,2174.09,1.5,5904.0,5.999302,69.723,1.3,0.0,0.76,0.76,0.3012011,7.0,2.0,15.0,0.56,100.0,1.000298,13.54,0.02583,77.36,63.05,14.31,14.53413,14.0067,0.65,1.32,0.285,0.63,-0.07,18.499999999999996,8.73212459828649,3.333333333333333,0.9428090415820634,9.166666666666666,5.2094998693625945,1.2933333333333334,0.5374838498865699,72.33333333333333,22.253588973966025,11.8,1.2969194269498774,15.841943333333331,11.454244649317658,2218.6200000000003,1561.7644889034964,1042.0016666666668,902.5466962142303,1176.6183333333333,844.9828071508648,9.258653666666666,3.741816762138487,40.2229,20.083703921836726,1.1333333333333333,0.3435921354681383,0.44,0.6222539674441618,0.6475,0.25836693329879157,0.7625,0.09913865150496158,0.06463935,0.12421337173433664
β-Ti3GaN2,-3.689,4.9,3.4,3.9,3,0,1,22.0,4.0,4.0,1.76,51.0,4e-07,0.32,10.64,22.0,3560.0,1941.0,1619.0,110.0,116.0,716.0,44.0,6.0,970.0,4507.0,8.6e-06,6.82812,47.867,1.4,0.0,0.8516666666666667,0.8516666666666667,0.075545,31.0,4.0,13.0,1.36,81.0,1.4e-07,11.8,29.0,2477.0,302.91,2174.09,1.5,5904.0,5.999302,69.723,1.3,0.0,0.76,0.76,0.3012011,7.0,2.0,15.0,0.56,100.0,1.000298,13.54,0.02583,77.36,63.05,14.31,14.53413,14.0067,0.65,1.32,0.285,0.63,-0.07,18.499999999999996,8.73212459828649,3.333333333333333,0.9428090415820634,9.166666666666666,5.2094998693625945,1.2933333333333334,0.5374838498865699,72.33333333333333,22.253588973966025,11.8,1.2969194269498774,15.841943333333331,11.454244649317658,2218.6200000000003,1561.7644889034964,1042.0016666666668,902.5466962142303,1176.6183333333333,844.9828071508648,9.258653666666666,3.741816762138487,40.2229,20.083703921836726,1.1333333333333333,0.3435921354681383,0.44,0.6222539674441618,0.6475,0.25836693329879157,0.7625,0.09913865150496158,0.06463935,0.12421337173433664
α-Ti3GeC2,-0.856,8.0,7.6,8.0,3,1,0,22.0,4.0,4.0,1.76,51.0,4e-07,0.32,10.64,22.0,3560.0,1941.0,1619.0,110.0,116.0,716.0,44.0,6.0,970.0,4507.0,8.6e-06,6.82812,47.867,1.4,0.0,0.8516666666666667,0.8516666666666667,0.075545,32.0,4.0,14.0,1.25,84.0,0.0005,13.63,60.0,3093.0,1211.4,1881.6,6.0,5323.0,7.899435,72.64,1.25,0.0,0.77,0.77,1.232676413,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,18.333333333333332,9.410396142328736,3.333333333333333,0.9428090415820634,9.0,5.0,1.3116666666666668,0.48824231233635984,71.16666666666666,20.49728979374807,9.355,3.062617344690649,67.66666666666666,52.88246926492328,3728.833333333333,436.3219058855005,2439.0666666666666,996.2977912697031,1289.7666666666667,566.1144220816927,8.484061833333334,1.9992949614540299,40.04373333333333,21.67113679664472,1.1416666666666666,0.31677629681247016,0.0,0.0,0.6541666666666667,0.25209263068254184,0.6541666666666667,0.25209263068254184,0.6639231061666666,0.5884599213230173
α-Ti3GeN2,-3.946,5.4,9.8,8.6,3,1,0,22.0,4.0,4.0,1.76,51.0,4e-07,0.32,10.64,22.0,3560.0,1941.0,1619.0,110.0,116.0,716.0,44.0,6.0,970.0,4507.0,8.6e-06,6.82812,47.867,1.4,0.0,0.8516666666666667,0.8516666666666667,0.075545,32.0,4.0,14.0,1.25,84.0,0.0005,13.63,60.0,3093.0,1211.4,1881.6,6.0,5323.0,7.899435,72.64,1.25,0.0,0.77,0.77,1.232676413,7.0,2.0,15.0,0.56,100.0,1.000298,13.54,0.02583,77.36,63.05,14.31,14.53413,14.0067,0.65,1.32,0.285,0.63,-0.07,18.666666666666664,8.975274678557506,3.333333333333333,0.9428090415820634,9.333333333333332,5.343739847293799,1.2750000000000001,0.5367727638395972,72.83333333333333,22.47529507901707,12.105,1.4653071350402955,21.00861,20.015956841085565,2321.286666666667,1595.2631656528927,1193.4166666666667,839.8832779354257,1127.87,792.8605058899075,9.5753425,3.5267904975673345,40.709066666666665,20.813958872005955,1.125,0.340036762718386,0.44,0.6222539674441618,0.6491666666666667,0.2591184306665798,0.7641666666666667,0.09916666666666667,0.21988523549999997,0.45758700074342945
β-Ti3GeN2,-3.701,5.2,7.7,7.1,3,0,1,22.0,4.0,4.0,1.76,51.0,4e-07,0.32,10.64,22.0,3560.0,1941.0,1619.0,110.0,116.0,716.0,44.0,6.0,970.0,4507.0,8.6e-06,6.82812,47.867,1.4,0.0,0.8516666666666667,0.8516666666666667,0.075545,32.0,4.0,14.0,1.25,84.0,0.0005,13.63,60.0,3093.0,1211.4,1881.6,6.0,5323.0,7.899435,72.64,1.25,0.0,0.77,0.77,1.232676413,7.0,2.0,15.0,0.56,100.0,1.000298,13.54,0.02583,77.36,63.05,14.31,14.53413,14.0067,0.65,1.32,0.285,0.63,-0.07,18.666666666666664,8.975274678557506,3.333333333333333,0.9428090415820634,9.333333333333332,5.343739847293799,1.2750000000000001,0.5367727638395972,72.83333333333333,22.47529507901707,12.105,1.4653071350402955,21.00861,20.015956841085565,2321.286666666667,1595.2631656528927,1193.4166666666667,839.8832779354257,1127.87,792.8605058899075,9.5753425,3.5267904975673345,40.709066666666665,20.813958872005955,1.125,0.340036762718386,0.44,0.6222539674441618,0.6491666666666667,0.2591184306665798,0.7641666666666667,0.09916666666666667,0.21988523549999997,0.45758700074342945
α-Ti3InC2,-0.763,7.6,10.0,8.1,3,1,0,22.0,4.0,4.0,1.76,51.0,4e-07,0.32,10.64,22.0,3560.0,1941.0,1619.0,110.0,116.0,716.0,44.0,6.0,970.0,4507.0,8.6e-06,6.82812,47.867,1.4,0.0,0.8516666666666667,0.8516666666666667,0.075545,49.0,5.0,13.0,1.56,79.0,8e-08,15.76,82.0,2345.0,429.75,1915.25,1.2,7310.0,5.7863557,114.818,1.55,0.0,0.94,0.94,0.383926,6.0,2.0,14.0,0.67,95.0,2.417,5.29,140.0,4300.0,3800.0,500.0,11.260288,12.0107,0.7,0.0,0.3,0.3,1.262113612,21.166666666666664,14.357537702854515,3.4999999999999996,1.118033988749895,8.833333333333332,4.844813951249544,1.3633333333333335,0.49533378196480354,70.33333333333333,20.055478608655097,9.71,3.61178626167164,71.33333333333333,52.98637141336964,3604.166666666667,653.1616483604107,2308.7916666666665,1182.0895554118938,1295.375,572.0849614567752,8.13188195,2.2425702472682123,47.0734,34.27828781853025,1.1916666666666667,0.3516824641001532,0.0,0.0,0.6825,0.2722654444144945,0.6825,0.2722654444144945,0.522464704,0.5342542547307614
α-Ti3InN2,-3.86,5.0,9.0,9.4,3,1,0,22.0,4.0,4.0,1.76,51.0,4e-07,0.32,10.64,22.0,3560.0,1941.0,1619.0,110.0,116.0,716.0,44.0,6.0,970.0,4507.0,8.6e-06,6.82812,47.867,1.4,0.0,0.8516666666666667,0.8516666666666667,0.075545,49.0,5.0,13.0,1.56,79.0,8e-08,15.76,82.0,2345.0,429.75,1915.25,1.2,7310.0,5.7863557,114.818,1.55,0.0,0.94,0.94,0.383926,7.0,2.0,15.0,0.56,100.0,1.000298,13.54,0.02583,77.36,63.05,14.31,14.53413,14.0067,0.65,1.32,0.285,0.63,-0.07,21.499999999999996,14.0089257261219,3.4999999999999996,1.118033988749895,9.166666666666666,5.2094998693625945,1.3266666666666669,0.5467073155618908,72.0,22.135943621178654,12.46,1.9646882704388497,24.675276666666665,27.45537489247638,2196.6200000000003,1558.8969173104422,1063.1416666666667,886.3273893886816,1133.4783333333332,798.2727522473479,9.223162616666666,3.773439595449961,47.738733333333336,33.604011464787284,1.1749999999999998,0.37499999999999994,0.44,0.6222539674441618,0.6775,0.27929101708114823,0.7925,0.11907339006773184,0.07842683333333333,0.15133610795776914
